_id,AREA_ID,DATE_EFFECTIVE,DATE_EXPIRY,AREA_ATTR_ID,AREA_TYPE_ID,PARENT_AREA_ID,AREA_TYPE,AREA_CLASS_ID,AREA_CLASS,AREA_SHORT_CODE,AREA_LONG_CODE,AREA_NAME,AREA_DESC,FEATURE_CODE,FEATURE_CODE_DESC,TRANS_ID_CREATE,TRANS_ID_EXPIRE,OBJECTID,GEOMETRY,GEOMETRY_WKT_SIMPLIFIED
22,2457719.0,2018-08-07T14:11:06,3000-01-01T00:00:00,25993175.0,528.0,,CITW,,None,13,13,Toronto Centre,Toronto Centre (13),None,None,279754.0,-1.0,17345121,"""{""""type"""": """"MultiPolygon"""""," """"coordinates"""": [[[[-79.3771450315158"
23,2457718.0,2018-08-07T14:11:06,3000-01-01T00:00:00,25993174.0,528.0,,CITW,,None,05,05,York South-Weston,York South-Weston (5),None,None,279754.0,-1.0,17345137,"""{""""type"""": """"MultiPolygon"""""," """"coordinates"""": [[[[-79.4693521361092"
24,2457717.0,2018-08-07T14:11:06,3000-01-01T00:00:00,25993173.0,528.0,,CITW,,None,14,14,Toronto-Danforth,Toronto-Danforth (14),None,None,279754.0,-1.0,17345153,"""{""""type"""": """"MultiPolygon"""""," """"coordinates"""": [[[[-79.3321194840694"
25,2457716.0,2018-08-07T14:11:06,3000-01-01T00:00:00,25993172.0,528.0,,CITW,,None,10,10,Spadina-Fort York,Spadina-Fort York (10),None,None,279754.0,-1.0,17345169,"""{""""type"""": """"MultiPolygon"""""," """"coordinates"""": [[[[-79.3837661930223"
4,2457737.0,2018-08-07T14:11:06,3000-01-01T00:00:00,25993193.0,528.0,,CITW,,None,11,11,University-Rosedale,University-Rosedale (11),None,None,279754.0,-1.0,17344833,"""{""""type"""": """"MultiPolygon"""""," """"coordinates"""": [[[[-79.3900395402556"
5,2457736.0,2018-08-07T14:11:06,3000-01-01T00:00:00,25993192.0,528.0,,CITW,,None,19,19,Beaches-East York,Beaches-East York (19),None,None,279754.0,-1.0,17344849,"""{""""type"""": """"MultiPolygon"""""," """"coordinates"""": [[[[-79.2986387013495"
6,2457735.0,2018-08-07T14:11:06,3000-01-01T00:00:00,25993191.0,528.0,,CITW,,None,20,20,Scarborough Southwest,Scarborough Southwest (20),None,None,279754.0,-1.0,17344865,"""{""""type"""": """"MultiPolygon"""""," """"coordinates"""": [[[[-79.2790326884178"
7,2457734.0,2018-08-07T14:11:06,3000-01-01T00:00:00,25993190.0,528.0,,CITW,,None,25,25,Scarborough-Rouge Park,Scarborough-Rouge Park (25),None,None,279754.0,-1.0,17344881,"""{""""type"""": """"MultiPolygon"""""," """"coordinates"""": [[[[-79.1647771799524"
8,2457733.0,2018-08-07T14:11:06,3000-01-01T00:00:00,25993189.0,528.0,,CITW,,None,23,23,Scarborough North,Scarborough North (23),None,None,279754.0,-1.0,17344897,"""{""""type"""": """"MultiPolygon"""""," """"coordinates"""": [[[[-79.2259069624481"
9,2457732.0,2018-08-07T14:11:06,3000-01-01T00:00:00,25993188.0,528.0,,CITW,,None,24,24,Scarborough-Guildwood,Scarborough-Guildwood (24),None,None,279754.0,-1.0,17344913,"""{""""type"""": """"MultiPolygon"""""," """"coordinates"""": [[[[-79.1819187059584"
16,2457725.0,2018-08-07T14:11:06,3000-01-01T00:00:00,25993181.0,528.0,,CITW,,None,03,03,Etobicoke-Lakeshore,Etobicoke-Lakeshore (3),None,None,279754.0,-1.0,17345025,"""{""""type"""": """"MultiPolygon"""""," """"coordinates"""": [[[[-79.4977664417731"
17,2457724.0,2018-08-07T14:11:06,3000-01-01T00:00:00,25993180.0,528.0,,CITW,,None,02,02,Etobicoke Centre,Etobicoke Centre (2),None,None,279754.0,-1.0,17345041,"""{""""type"""": """"MultiPolygon"""""," """"coordinates"""": [[[[-79.5276619742478"
18,2457723.0,2018-08-07T14:11:06,3000-01-01T00:00:00,25993179.0,528.0,,CITW,,None,08,08,Eglinton-Lawrence,Eglinton-Lawrence (8),None,None,279754.0,-1.0,17345057,"""{""""type"""": """"MultiPolygon"""""," """"coordinates"""": [[[[-79.4645741146664"
13,2457728.0,2018-08-07T14:11:06,3000-01-01T00:00:00,25993184.0,528.0,,CITW,,None,12,12,Toronto-St. Paul's,Toronto-St. Paul's (12),None,None,279754.0,-1.0,17344977,"""{""""type"""": """"MultiPolygon"""""," """"coordinates"""": [[[[-79.3887418363907"
14,2457727.0,2018-08-07T14:11:06,3000-01-01T00:00:00,25993183.0,528.0,,CITW,,None,04,04,Parkdale-High Park,Parkdale-High Park (4),None,None,279754.0,-1.0,17344993,"""{""""type"""": """"MultiPolygon"""""," """"coordinates"""": [[[[-79.4693442331409"
15,2457726.0,2018-08-07T14:11:06,3000-01-01T00:00:00,25993182.0,528.0,,CITW,,None,01,01,Etobicoke North,Etobicoke North (1),None,None,279754.0,-1.0,17345009,"""{""""type"""": """"MultiPolygon"""""," """"coordinates"""": [[[[-79.5793823406653"
10,2457731.0,2018-08-07T14:11:06,3000-01-01T00:00:00,25993187.0,528.0,,CITW,,None,21,21,Scarborough Centre,Scarborough Centre (21),None,None,279754.0,-1.0,17344929,"""{""""type"""": """"MultiPolygon"""""," """"coordinates"""": [[[[-79.2502110994834"
11,2457730.0,2018-08-07T14:11:06,3000-01-01T00:00:00,25993186.0,528.0,,CITW,,None,22,22,Scarborough-Agincourt,Scarborough-Agincourt (22),None,None,279754.0,-1.0,17344945,"""{""""type"""": """"MultiPolygon"""""," """"coordinates"""": [[[[-79.3164533122312"
12,2457729.0,2018-08-07T14:11:06,3000-01-01T00:00:00,25993185.0,528.0,,CITW,,None,15,15,Don Valley West,Don Valley West (15),None,None,279754.0,-1.0,17344961,"""{""""type"""": """"MultiPolygon"""""," """"coordinates"""": [[[[-79.3523211689513"
1,2457740.0,2018-08-07T14:11:06,3000-01-01T00:00:00,25993196.0,528.0,,CITW,,None,07,07,Humber River-Black Creek,Humber River-Black Creek (7),None,None,279754.0,-1.0,17344785,"""{""""type"""": """"MultiPolygon"""""," """"coordinates"""": [[[[-79.4910534106931"
2,2457739.0,2018-08-07T14:11:06,3000-01-01T00:00:00,25993195.0,528.0,,CITW,,None,06,06,York Centre,York Centre (6),None,None,279754.0,-1.0,17344801,"""{""""type"""": """"MultiPolygon"""""," """"coordinates"""": [[[[-79.440433878524"
3,2457738.0,2018-08-07T14:11:06,3000-01-01T00:00:00,25993194.0,528.0,,CITW,,None,18,18,Willowdale,Willowdale (18),None,None,279754.0,-1.0,17344817,"""{""""type"""": """"MultiPolygon"""""," """"coordinates"""": [[[[-79.3944915063695"
19,2457722.0,2018-08-07T14:11:06,3000-01-01T00:00:00,25993178.0,528.0,,CITW,,None,17,17,Don Valley North,Don Valley North (17),None,None,279754.0,-1.0,17345073,"""{""""type"""": """"MultiPolygon"""""," """"coordinates"""": [[[[-79.3834924131196"
20,2457721.0,2018-08-07T14:11:06,3000-01-01T00:00:00,25993177.0,528.0,,CITW,,None,16,16,Don Valley East,Don Valley East (16),None,None,279754.0,-1.0,17345089,"""{""""type"""": """"MultiPolygon"""""," """"coordinates"""": [[[[-79.3133453668798"
21,2457720.0,2018-08-07T14:11:06,3000-01-01T00:00:00,25993176.0,528.0,,CITW,,None,09,09,Davenport,Davenport (9),None,None,279754.0,-1.0,17345105,"""{""""type"""": """"MultiPolygon"""""," """"coordinates"""": [[[[-79.4464225218129"
