Ward Number,Ward Name,Effective Date
1,Etobicoke North,2018-08-14
2,Etobicoke Centre,2018-08-14
3,Etobicoke-Lakeshore,2018-08-14
4,Parkdale-High Park,2018-08-14
5,York South-Weston,2018-08-14
6,York Centre,2018-08-14
7,Humber River-Black Creek,2018-08-14
8,Eglinton-Lawrence,2018-08-14
9,Davenport,2018-08-14
10,Spadina-Fort York,2018-08-14
11,University-Rosedale,2018-08-14
12,Toronto-St. Paulâ€™s,2018-08-14
13,Toronto Centre,2018-08-14
14,Toronto-Danforth,2018-08-14
15,Don Valley West,2018-08-14
16,Don Valley East,2018-08-14
17,Don Valley North,2018-08-14
18,Willowdale,2018-08-14
19,Beaches-East York,2018-08-14
20,Scarborough Southwest,2018-08-14
21,Scarborough Centre,2018-08-14
22,Scarborough-Agincourt,2018-08-14
23,Scarborough North,2018-08-14
24,Scarborough-Guildwood,2018-08-14
25,Scarborough-Rouge Park,2018-08-14
