Age Group,Ward,Count of People
  15 to 19 years,Ward 1,7085
  20 to 24 years,Ward 1,9645
  25 to 29 years,Ward 1,10095
  30 to 34 years,Ward 1,8125
  35 to 39 years,Ward 1,7265
  40 to 44 years,Ward 1,6905
  45 to 49 years,Ward 1,7035
  50 to 54 years,Ward 1,7515
  55 to 59 years,Ward 1,7925
  60 to 64 years,Ward 1,7070
  65 to 69 years,Ward 1,5495
  70 to 74 years,Ward 1,4745
  75 to 79 years,Ward 1,3140
  80 to 84 years,Ward 1,2390
  85 to 89 years,Ward 1,1435
  90 years and over,Ward 1,745
  15 to 19 years,Ward 2,6540
  20 to 24 years,Ward 2,6600
  25 to 29 years,Ward 2,6820
  30 to 34 years,Ward 2,6755
  35 to 39 years,Ward 2,7395
  40 to 44 years,Ward 2,7045
  45 to 49 years,Ward 2,7135
  50 to 54 years,Ward 2,8380
  55 to 59 years,Ward 2,9530
  60 to 64 years,Ward 2,8675
  65 to 69 years,Ward 2,7165
  70 to 74 years,Ward 2,6020
  75 to 79 years,Ward 2,4060
  80 to 84 years,Ward 2,3575
  85 to 89 years,Ward 2,2555
  90 years and over,Ward 2,1650
  15 to 19 years,Ward 3,5160
  20 to 24 years,Ward 3,7040
  25 to 29 years,Ward 3,11455
  30 to 34 years,Ward 3,13980
  35 to 39 years,Ward 3,12460
  40 to 44 years,Ward 3,10305
  45 to 49 years,Ward 3,9380
  50 to 54 years,Ward 3,9215
  55 to 59 years,Ward 3,9705
  60 to 64 years,Ward 3,9140
  65 to 69 years,Ward 3,7315
  70 to 74 years,Ward 3,6365
  75 to 79 years,Ward 3,4065
  80 to 84 years,Ward 3,3000
  85 to 89 years,Ward 3,1830
  90 years and over,Ward 3,1045
  15 to 19 years,Ward 4,4680
  15 to 19 years,Ward 5,6390
  15 to 19 years,Ward 6,5705
  15 to 19 years,Ward 7,7175
  15 to 19 years,Ward 8,7220
  15 to 19 years,Ward 9,3895
  15 to 19 years,Ward 10,2195
  15 to 19 years,Ward 11,3490
  15 to 19 years,Ward 12,4485
  15 to 19 years,Ward 13,3445
  15 to 19 years,Ward 14,4200
  15 to 19 years,Ward 15,6665
  15 to 19 years,Ward 16,5225
  15 to 19 years,Ward 17,5090
  15 to 19 years,Ward 18,5035
  15 to 19 years,Ward 19,5480
  15 to 19 years,Ward 20,6425
  15 to 19 years,Ward 21,6440
  15 to 19 years,Ward 22,4930
  15 to 19 years,Ward 23,4750
  15 to 19 years,Ward 24,6030
  15 to 19 years,Ward 25,6105
  20 to 24 years,Ward 4,4550
  20 to 24 years,Ward 5,7490
  20 to 24 years,Ward 6,7225
  20 to 24 years,Ward 7,9380
  20 to 24 years,Ward 8,7145
  20 to 24 years,Ward 9,5595
  20 to 24 years,Ward 10,10385
  20 to 24 years,Ward 11,9715
  20 to 24 years,Ward 12,5840
  20 to 24 years,Ward 13,12140
  20 to 24 years,Ward 14,4855
  20 to 24 years,Ward 15,6035
  20 to 24 years,Ward 16,5660
  20 to 24 years,Ward 17,7610
  20 to 24 years,Ward 18,8180
  20 to 24 years,Ward 19,5295
  20 to 24 years,Ward 20,7060
  20 to 24 years,Ward 21,8155
  20 to 24 years,Ward 22,6715
  20 to 24 years,Ward 23,6835
  20 to 24 years,Ward 24,7820
  20 to 24 years,Ward 25,7585
  25 to 29 years,Ward 4,7690
  25 to 29 years,Ward 5,8205
  25 to 29 years,Ward 6,7840
  25 to 29 years,Ward 7,8750
  25 to 29 years,Ward 8,6975
  25 to 29 years,Ward 9,9930
  25 to 29 years,Ward 10,28800
  25 to 29 years,Ward 11,13380
  25 to 29 years,Ward 12,10945
  25 to 29 years,Ward 13,17365
  25 to 29 years,Ward 14,6620
  25 to 29 years,Ward 15,5910
  25 to 29 years,Ward 16,6735
  25 to 29 years,Ward 17,10450
  25 to 29 years,Ward 18,11500
  25 to 29 years,Ward 19,6085
  25 to 29 years,Ward 20,7285
  25 to 29 years,Ward 21,8935
  25 to 29 years,Ward 22,7605
  25 to 29 years,Ward 23,7150
  25 to 29 years,Ward 24,8560
  25 to 29 years,Ward 25,7540
  30 to 34 years,Ward 4,10640
  30 to 34 years,Ward 5,8450
  30 to 34 years,Ward 6,7570
  30 to 34 years,Ward 7,7460
  30 to 34 years,Ward 8,7575
  30 to 34 years,Ward 9,12345
  30 to 34 years,Ward 10,27255
  30 to 34 years,Ward 11,11965
  30 to 34 years,Ward 12,12845
  30 to 34 years,Ward 13,16335
  30 to 34 years,Ward 14,9015
  30 to 34 years,Ward 15,6495
  30 to 34 years,Ward 16,6820
  30 to 34 years,Ward 17,9870
  30 to 34 years,Ward 18,11985
  30 to 34 years,Ward 19,7760
  30 to 34 years,Ward 20,7380
  30 to 34 years,Ward 21,8055
  30 to 34 years,Ward 22,7025
  30 to 34 years,Ward 23,6595
  30 to 34 years,Ward 24,7245
  30 to 34 years,Ward 25,6140
  35 to 39 years,Ward 4,9900
  35 to 39 years,Ward 5,8400
  35 to 39 years,Ward 6,7560
  35 to 39 years,Ward 7,7445
  35 to 39 years,Ward 8,7580
  35 to 39 years,Ward 9,10760
  35 to 39 years,Ward 10,15870
  35 to 39 years,Ward 11,8315
  35 to 39 years,Ward 12,10070
  35 to 39 years,Ward 13,11390
  35 to 39 years,Ward 14,9515
  35 to 39 years,Ward 15,6380
  35 to 39 years,Ward 16,6280
  35 to 39 years,Ward 17,8405
  35 to 39 years,Ward 18,9520
  35 to 39 years,Ward 19,8765
  35 to 39 years,Ward 20,7645
  35 to 39 years,Ward 21,7455
  35 to 39 years,Ward 22,6305
  35 to 39 years,Ward 23,5645
  35 to 39 years,Ward 24,6535
  35 to 39 years,Ward 25,5980
  40 to 44 years,Ward 4,8465
  40 to 44 years,Ward 5,7845
  40 to 44 years,Ward 6,7710
  40 to 44 years,Ward 7,7180
  40 to 44 years,Ward 8,7910
  40 to 44 years,Ward 9,8415
  40 to 44 years,Ward 10,9345
  40 to 44 years,Ward 11,5805
  40 to 44 years,Ward 12,7505
  40 to 44 years,Ward 13,7635
  40 to 44 years,Ward 14,8915
  40 to 44 years,Ward 15,6565
  40 to 44 years,Ward 16,6250
  40 to 44 years,Ward 17,6975
  40 to 44 years,Ward 18,7880
  40 to 44 years,Ward 19,8915
  40 to 44 years,Ward 20,7500
  40 to 44 years,Ward 21,6685
  40 to 44 years,Ward 22,5655
  40 to 44 years,Ward 23,5185
  40 to 44 years,Ward 24,6410
  40 to 44 years,Ward 25,5660
  45 to 49 years,Ward 4,7925
  45 to 49 years,Ward 5,7325
  45 to 49 years,Ward 6,7305
  45 to 49 years,Ward 7,6605
  45 to 49 years,Ward 8,7955
  45 to 49 years,Ward 9,7045
  45 to 49 years,Ward 10,6630
  45 to 49 years,Ward 11,5405
  45 to 49 years,Ward 12,7130
  45 to 49 years,Ward 13,6535
  45 to 49 years,Ward 14,7935
  45 to 49 years,Ward 15,7075
  45 to 49 years,Ward 16,6095
  45 to 49 years,Ward 17,6740
  45 to 49 years,Ward 18,7455
  45 to 49 years,Ward 19,8010
  45 to 49 years,Ward 20,7370
  45 to 49 years,Ward 21,6905
  45 to 49 years,Ward 22,6010
  45 to 49 years,Ward 23,5350
  45 to 49 years,Ward 24,6200
  45 to 49 years,Ward 25,6200
  50 to 54 years,Ward 4,7345
  50 to 54 years,Ward 5,7970
  50 to 54 years,Ward 6,7515
  50 to 54 years,Ward 7,7685
  50 to 54 years,Ward 8,8195
  50 to 54 years,Ward 9,6660
  50 to 54 years,Ward 10,5580
  50 to 54 years,Ward 11,5805
  50 to 54 years,Ward 12,6970
  50 to 54 years,Ward 13,6850
  50 to 54 years,Ward 14,7405
  50 to 54 years,Ward 15,7895
  50 to 54 years,Ward 16,6470
  50 to 54 years,Ward 17,7265
  50 to 54 years,Ward 18,7660
  50 to 54 years,Ward 19,8140
  50 to 54 years,Ward 20,8010
  50 to 54 years,Ward 21,7490
  50 to 54 years,Ward 22,6955
  50 to 54 years,Ward 23,6475
  50 to 54 years,Ward 24,6765
  50 to 54 years,Ward 25,6640
  55 to 59 years,Ward 4,7010
  55 to 59 years,Ward 5,8875
  55 to 59 years,Ward 6,7975
  55 to 59 years,Ward 7,7715
  55 to 59 years,Ward 8,8005
  55 to 59 years,Ward 9,6315
  55 to 59 years,Ward 10,5035
  55 to 59 years,Ward 11,6165
  55 to 59 years,Ward 12,6855
  55 to 59 years,Ward 13,7165
  55 to 59 years,Ward 14,7555
  55 to 59 years,Ward 15,7275
  55 to 59 years,Ward 16,6730
  55 to 59 years,Ward 17,7110
  55 to 59 years,Ward 18,7520
  55 to 59 years,Ward 19,8075
  55 to 59 years,Ward 20,8670
  55 to 59 years,Ward 21,8390
  55 to 59 years,Ward 22,8060
  55 to 59 years,Ward 23,7455
  55 to 59 years,Ward 24,6805
  55 to 59 years,Ward 25,7915
  60 to 64 years,Ward 4,6260
  60 to 64 years,Ward 5,7860
  60 to 64 years,Ward 6,6970
  60 to 64 years,Ward 7,6550
  60 to 64 years,Ward 8,7210
  60 to 64 years,Ward 9,5675
  60 to 64 years,Ward 10,4450
  60 to 64 years,Ward 11,5280
  60 to 64 years,Ward 12,6375
  60 to 64 years,Ward 13,5940
  60 to 64 years,Ward 14,6225
  60 to 64 years,Ward 15,6330
  60 to 64 years,Ward 16,5870
  60 to 64 years,Ward 17,6645
  60 to 64 years,Ward 18,6905
  60 to 64 years,Ward 19,7085
  60 to 64 years,Ward 20,7575
  60 to 64 years,Ward 21,7460
  60 to 64 years,Ward 22,7215
  60 to 64 years,Ward 23,6745
  60 to 64 years,Ward 24,6490
  60 to 64 years,Ward 25,7360
  65 to 69 years,Ward 4,5100
  65 to 69 years,Ward 5,5900
  65 to 69 years,Ward 6,5290
  65 to 69 years,Ward 7,4830
  65 to 69 years,Ward 8,5945
  65 to 69 years,Ward 9,4640
  65 to 69 years,Ward 10,3580
  65 to 69 years,Ward 11,4765
  65 to 69 years,Ward 12,6165
  65 to 69 years,Ward 13,4325
  65 to 69 years,Ward 14,5315
  65 to 69 years,Ward 15,5400
  65 to 69 years,Ward 16,4820
  65 to 69 years,Ward 17,5855
  65 to 69 years,Ward 18,5895
  65 to 69 years,Ward 19,5675
  65 to 69 years,Ward 20,5815
  65 to 69 years,Ward 21,5955
  65 to 69 years,Ward 22,6365
  65 to 69 years,Ward 23,5990
  65 to 69 years,Ward 24,5205
  65 to 69 years,Ward 25,6325
  70 to 74 years,Ward 4,4230
  70 to 74 years,Ward 5,4470
  70 to 74 years,Ward 6,4515
  70 to 74 years,Ward 7,3920
  70 to 74 years,Ward 8,5325
  70 to 74 years,Ward 9,3640
  70 to 74 years,Ward 10,2845
  70 to 74 years,Ward 11,4805
  70 to 74 years,Ward 12,5635
  70 to 74 years,Ward 13,3660
  70 to 74 years,Ward 14,4525
  70 to 74 years,Ward 15,4365
  70 to 74 years,Ward 16,4285
  70 to 74 years,Ward 17,5815
  70 to 74 years,Ward 18,5145
  70 to 74 years,Ward 19,4485
  70 to 74 years,Ward 20,4650
  70 to 74 years,Ward 21,4515
  70 to 74 years,Ward 22,5905
  70 to 74 years,Ward 23,5045
  70 to 74 years,Ward 24,3980
  70 to 74 years,Ward 25,5390
  75 to 79 years,Ward 4,2500
  75 to 79 years,Ward 5,3035
  75 to 79 years,Ward 6,2815
  75 to 79 years,Ward 7,2825
  75 to 79 years,Ward 8,3355
  75 to 79 years,Ward 9,2655
  75 to 79 years,Ward 10,1825
  75 to 79 years,Ward 11,3485
  75 to 79 years,Ward 12,4120
  75 to 79 years,Ward 13,2385
  75 to 79 years,Ward 14,2655
  75 to 79 years,Ward 15,3250
  75 to 79 years,Ward 16,3360
  75 to 79 years,Ward 17,4195
  75 to 79 years,Ward 18,3530
  75 to 79 years,Ward 19,2680
  75 to 79 years,Ward 20,2705
  75 to 79 years,Ward 21,3070
  75 to 79 years,Ward 22,4210
  75 to 79 years,Ward 23,3080
  75 to 79 years,Ward 24,3055
  75 to 79 years,Ward 25,3705
  80 to 84 years,Ward 4,1715
  80 to 84 years,Ward 5,2295
  80 to 84 years,Ward 6,2845
  80 to 84 years,Ward 7,2525
  80 to 84 years,Ward 8,2485
  80 to 84 years,Ward 9,2065
  80 to 84 years,Ward 10,1170
  80 to 84 years,Ward 11,2515
  80 to 84 years,Ward 12,2905
  80 to 84 years,Ward 13,1435
  80 to 84 years,Ward 14,1985
  80 to 84 years,Ward 15,1960
  80 to 84 years,Ward 16,2580
  80 to 84 years,Ward 17,3260
  80 to 84 years,Ward 18,2805
  80 to 84 years,Ward 19,1695
  80 to 84 years,Ward 20,1920
  80 to 84 years,Ward 21,2470
  80 to 84 years,Ward 22,3470
  80 to 84 years,Ward 23,2390
  80 to 84 years,Ward 24,2275
  80 to 84 years,Ward 25,2180
  85 to 89 years,Ward 4,1105
  85 to 89 years,Ward 5,1665
  85 to 89 years,Ward 6,1845
  85 to 89 years,Ward 7,1595
  85 to 89 years,Ward 8,1645
  85 to 89 years,Ward 9,1275
  85 to 89 years,Ward 10,770
  85 to 89 years,Ward 11,1695
  85 to 89 years,Ward 12,1735
  85 to 89 years,Ward 13,670
  85 to 89 years,Ward 14,1060
  85 to 89 years,Ward 15,1345
  85 to 89 years,Ward 16,1545
  85 to 89 years,Ward 17,1905
  85 to 89 years,Ward 18,1595
  85 to 89 years,Ward 19,1040
  85 to 89 years,Ward 20,1250
  85 to 89 years,Ward 21,1670
  85 to 89 years,Ward 22,2580
  85 to 89 years,Ward 23,1435
  85 to 89 years,Ward 24,1440
  85 to 89 years,Ward 25,1135
  90 years and over,Ward 4,575
  90 years and over,Ward 5,1035
  90 years and over,Ward 6,1110
  90 years and over,Ward 7,805
  90 years and over,Ward 8,1185
  90 years and over,Ward 9,715
  90 years and over,Ward 10,395
  90 years and over,Ward 11,820
  90 years and over,Ward 12,1070
  90 years and over,Ward 13,355
  90 years and over,Ward 14,595
  90 years and over,Ward 15,770
  90 years and over,Ward 16,1030
  90 years and over,Ward 17,1230
  90 years and over,Ward 18,1085
  90 years and over,Ward 19,620
  90 years and over,Ward 20,715
  90 years and over,Ward 21,935
  90 years and over,Ward 22,1395
  90 years and over,Ward 23,810
  90 years and over,Ward 24,770
  90 years and over,Ward 25,590
  10 to 14 years,Ward 1,6585
  10 to 14 years,Ward 2,6370
  10 to 14 years,Ward 3,5515
  10 to 14 years,Ward 4,5230
  10 to 14 years,Ward 5,6360
  10 to 14 years,Ward 6,5085
  10 to 14 years,Ward 7,6780
  10 to 14 years,Ward 8,7075
  10 to 14 years,Ward 9,4005
  10 to 14 years,Ward 10,2085
  10 to 14 years,Ward 11,2950
  10 to 14 years,Ward 12,4595
  10 to 14 years,Ward 13,2455
  10 to 14 years,Ward 14,5060
  10 to 14 years,Ward 15,6770
  10 to 14 years,Ward 16,5225
  10 to 14 years,Ward 17,5010
  10 to 14 years,Ward 18,4425
  10 to 14 years,Ward 19,6195
  10 to 14 years,Ward 20,6285
  10 to 14 years,Ward 21,5920
  10 to 14 years,Ward 22,4815
  10 to 14 years,Ward 23,4665
  10 to 14 years,Ward 24,6090
  10 to 14 years,Ward 25,5590
  5 to 9 years,Ward 1,6160
  5 to 9 years,Ward 2,5825
  5 to 9 years,Ward 3,6180
  5 to 9 years,Ward 4,5015
  5 to 9 years,Ward 5,6060
  5 to 9 years,Ward 6,5205
  5 to 9 years,Ward 7,6205
  5 to 9 years,Ward 8,6205
  5 to 9 years,Ward 9,4430
  5 to 9 years,Ward 10,2765
  5 to 9 years,Ward 11,2900
  5 to 9 years,Ward 12,4345
  5 to 9 years,Ward 13,3135
  5 to 9 years,Ward 14,5775
  5 to 9 years,Ward 15,5915
  5 to 9 years,Ward 16,4755
  5 to 9 years,Ward 17,4780
  5 to 9 years,Ward 18,4480
  5 to 9 years,Ward 19,6455
  5 to 9 years,Ward 20,6230
  5 to 9 years,Ward 21,5880
  5 to 9 years,Ward 22,4480
  5 to 9 years,Ward 23,4660
  5 to 9 years,Ward 24,5890
  5 to 9 years,Ward 25,5080
  0 to 4 years,Ward 1,5755
  0 to 4 years,Ward 2,5105
  0 to 4 years,Ward 3,6765
  0 to 4 years,Ward 4,4770
  0 to 4 years,Ward 5,6045
  0 to 4 years,Ward 6,5265
  0 to 4 years,Ward 7,5785
  0 to 4 years,Ward 8,5835
  0 to 4 years,Ward 9,4665
  0 to 4 years,Ward 10,4420
  0 to 4 years,Ward 11,3130
  0 to 4 years,Ward 12,4520
  0 to 4 years,Ward 13,3720
  0 to 4 years,Ward 14,5350
  0 to 4 years,Ward 15,4615
  0 to 4 years,Ward 16,4600
  0 to 4 years,Ward 17,4375
  0 to 4 years,Ward 18,4525
  0 to 4 years,Ward 19,6035
  0 to 4 years,Ward 20,5610
  0 to 4 years,Ward 21,5165
  0 to 4 years,Ward 22,4000
  0 to 4 years,Ward 23,3770
  0 to 4 years,Ward 24,5195
  0 to 4 years,Ward 25,4365
